Method,Parmas,Single,Add,Multi,\multirow[c]{2}{*}{GSM8K},\multirow[c]{2}{*}{AQUA},\multirow[c]{2}{*}{SVAMP},Date,Shuffled,Last,Coin,Common,Strategy
Random,,0.00,0.00,0.00,0.00,20.00,0.00,17.12,33.33,0.00,50.00,20.00,50.00
Teacher,175B,81.50,76.71,78.79,42.17,29.74,64.20,67.58,53.20,57.71,90.04,60.07,53.45
Zero-shot,124M,0.00,0.00,2.22,0.99,24.02,1.00,18.92,27.56,0.00,6.67,13.76,46.72
Zero-shot,355M,0.66,0.00,3.33,0.15,19.29,1.67,8.11,32.00,0.00,42.67,13.02,44.98
Zero-shot,774M,0.66,0.00,2.78,0.08,1.57,0.00,11.71,36.89,0.00,0.00,15.40,23.29
Few-shot-CoT,124M,0.00,0.00,3.33,1.97,18.90,2.00,13.51,-,0.00,44.67,15.15,25.91
Few-shot-CoT,355M,1.32,5.88,2.78,1.29,18.50,3.33,9.91,-,0.00,55.33,19.49,34.93
Few-shot-CoT,774M,1.32,2.52,2.78,0.15,0.79,4.00,13.51,-,0.00,55.33,10.32,38.86
Fine-tune,124M,5.26,9.24,12.22,2.73,24.80,10.33,27.93,33.78,1.33,60.00,20.88,54.44
Fine-tune,355M,4.61,8.40,12.22,1.59,24.80,12.00,20.72,33.78,2.00,55.33,20.23,54.59
Fine-tune,774M,4.61,5.04,10.56,2.35,26.38,10.00,27.93,34.67,2.67,55.33,21.38,52.98
Fine-tune-CoT,124M,3.95,5.88,8.33,3.03,22.44,4.33,25.23,38.67,4.67,77.33,22.69,55.75
Fine-tune-CoT,355M,5.92,10.92,7.78,2.81,24.41,7.33,25.23,42.22,12.00,83.33,21.70,56.19
Fine-tune-CoT,774M,3.95,5.88,8.89,3.03,26.77,6.00,25.23,48.00,7.33,68.67,22.28,53.86
Diverse reasoning,124M,6.58,5.88,17.78,-,-,10.33,21.62,45.33,6.00,76.00,-,56.33
Diverse reasoning,355M,6.58,10.08,17.78,-,-,12.33,25.23,51.56,14.00,83.33,-,55.46
Diverse reasoning,774M,5.92,7.56,17.78,-,-,10.33,23.42,56.89,8.00,82.67,-,55.46
